alignment,combat,durability,gender,height,id,image,intelligence,name,power,publisher,race,speed,strength,weight
bad,64,100,Male,193 cm,6,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg,38,Absorbing Man,98,Marvel Comics,Human,25,80,122 kg
good,65,64,Male,185 cm,3,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg,50,Abin Sur,99,DC Comics,Ungaran,53,90,90 kg
good,64,80,Male,203 cm,1,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg,38,A-Bomb,24,Marvel Comics,Human,17,100,441 kg
bad,55,100,Male,0 cm,5,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg,88,Abraxas,100,Marvel Comics,Cosmic Entity,83,63,0 kg
bad,95,90,Male,203 cm,4,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg,63,Abomination,62,Marvel Comics,Human / Radiation,53,80,441 kg
good,85,65,Male,191 cm,2,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg,88,Abe Sapien,100,Dark Horse Comics,Icthyo Sapien,35,28,65 kg
good,50,40,Male,185 cm,8,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg,69,Adam Strange,37,DC Comics,Human,33,10,88 kg
good,20,5,Male,178 cm,10,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg,10,Agent Bob,5,Marvel Comics,Human,13,8,81 kg
good,95,80,Male,191 cm,11,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg,75,Agent Zero,72,Marvel Comics,null,38,28,104 kg
good,64,100,Male,0 cm,7,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg,63,Adam Monroe,100,NBC - Heroes,null,12,10,0 kg
bad,40,85,Male,188 cm,12,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg,50,Air-Walker,100,Marvel Comics,null,100,85,108 kg
good,32,90,Male,180 cm,14,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg,63,Alan Scott,100,DC Comics,null,23,80,90 kg
bad,50,90,Male,0 cm,15,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg,50,Alex Mercer,100,Wildstorm,Human,42,80,0 kg
bad,55,80,Male,193 cm,13,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg,56,Ajax,34,Marvel Comics,Cyborg,35,48,90 kg
good,null,null,Female,173 cm,9,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg,null,Agent 13,null,Sharon Carter,null,null,46,61 kg
good,null,null,Male,0 cm,16,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg,null,Alex Woolsly,null,NBC - Heroes,null,null,37,0 kg
good,55,10,Male,178 cm,17,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg,63,Alfred Pennyworth,7,DC Comics,Human,17,10,72 kg
bad,60,90,Male,244 cm,18,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg,50,Alien,57,Dark Horse Comics,Xenomorph XX121,42,28,169 kg
good,null,null,Male,0 cm,19,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg,null,Allan Quatermain,null,Wildstorm,null,null,null,0 kg
bad,100,100,Male,257 cm,20,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg,63,Amazo,100,DC Comics,Android,83,100,173 kg
bad,null,null,Male,188 cm,21,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg,null,Ammo,null,Marvel Comics,Human,null,null,101 kg
good,null,null,Male,0 cm,22,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg,null,Ando Masahashi,null,NBC - Heroes,null,null,null,0 kg
good,42,64,Male,183 cm,24,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg,63,Angel,28,Archangel,null,46,13,68 kg
good,60,28,Female,163 cm,26,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg,38,Angel Salvadore,56,Tempest,null,28,10,54 kg
good,75,90,Male,0 cm,23,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg,75,Angel,100,Dark Horse Comics,Vampire,58,30,0 kg
good,30,42,Female,165 cm,25,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg,38,Angel Dust,17,Marvel Comics,Mutant,23,55,57 kg
good,32,28,Male,211 cm,30,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg,100,Ant-Man,32,Giant-Man,Human,23,18,122 kg
bad,null,null,Female,0 cm,27,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg,null,Angela,null,Image Comics,null,null,97,0 kg
good,80,85,Male,183 cm,28,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg,56,Animal Man,73,DC Comics,Human,47,48,83 kg
bad,64,56,Male,180 cm,29,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg,75,Annihilus,59,Marvel Comics,null,47,80,90 kg
bad,90,100,Male,61.0 meters,32,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg,88,Anti-Monitor,100,DC Comics,God / Eternal,50,100,0 kg
good,30,40,Male,183 cm,31,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg,75,Ant-Man II,53,Marvel Comics,Human,17,18,86 kg
bad,null,null,Male,0 cm,33,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg,null,Anti-Spawn,null,Image Comics,null,null,58,0 kg
bad,60,100,Male,213 cm,35,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg,100,Apocalypse,100,Marvel Comics,Mutant,33,100,135 kg
-,84,90,Male,229 cm,34,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg,75,Anti-Venom,96,Toxin,Symbiote,65,60,358 kg
good,14,14,Male,0 cm,36,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg,10,Aquababy,37,DC Comics,null,12,16,0 kg
good,60,75,Male,178 cm,37,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg,63,Aqualad,89,DC Comics,Atlantean,42,44,106 kg
good,80,80,Male,185 cm,38,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg,81,Aquaman,100,DC Comics,Atlantean,79,85,146 kg
good,70,70,Female,175 cm,39,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg,50,Arachne,71,Marvel Comics,Human,50,48,63 kg
good,42,64,Male,183 cm,40,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg,63,Archangel,35,Angel,Mutant,58,13,68 kg
bad,70,42,Female,173 cm,41,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg,38,Arclight,52,Marvel Comics,null,23,63,57 kg
good,101,80,Male,185 cm,43,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg,75,Ares,84,Marvel Comics,null,35,82,270 kg
good,25,80,Female,193 cm,42,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg,63,Ardina,100,Marvel Comics,Alien,100,100,98 kg
good,28,14,Female,165 cm,44,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg,50,Ariel,94,Marvel Comics,null,12,10,59 kg
good,54,80,Female,163 cm,45,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg,50,Armor,55,Marvel Comics,null,12,63,50 kg
good,null,null,Male,0 cm,46,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg,null,Arsenal,null,Speedy,Human,null,54,0 kg
good,null,null,Male,0 cm,47,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg,null,Astro Boy,null,null,null,null,90,0 kg
good,50,100,Male,183 cm,48,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg,63,Atlas,98,Goliath,Mutant,25,80,101 kg
bad,80,100,Male,198 cm,49,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg,63,Atlas,27,DC Comics,God / Eternal,42,100,126 kg
good,null,null,Male,178 cm,50,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg,null,Atom,null,DC Comics,null,null,null,68 kg
good,42,28,Female,168 cm,52,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg,38,Atom Girl,38,DC Comics,null,23,10,54 kg
good,null,null,Male,0 cm,54,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg,null,Atom III,null,DC Comics,null,null,null,0 kg
good,null,null,Male,0 cm,51,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg,null,Atom,null,DC Comics,null,null,null,0 kg
good,60,45,Male,183 cm,53,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg,88,Atom II,40,DC Comics,Human,33,10,81 kg
good,56,60,Female,180 cm,56,https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg,63,Aurora,74,Marvel Comics,Mutant,96,10,63 kg
good,null,null,Male,0 cm,55,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg,null,Atom IV,null,DC Comics,null,null,null,72 kg
bad,80,95,Male,183 cm,57,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg,50,Azazel,100,Marvel Comics,Neyaphem,47,11,67 kg
bad,95,56,Male,203 cm,60,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg,88,Bane,51,DC Comics,Human,23,38,180 kg
good,80,20,Male,0 cm,58,https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg,63,Azrael,35,DC Comics,Human,17,18,0 kg
good,null,null,Male,0 cm,59,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg,null,Aztar,null,Spectre,null,null,98,0 kg
good,70,40,Male,183 cm,61,https://www.superherodb.com/pictures2/portraits/10/100/26.jpg,50,Banshee,63,Marvel Comics,Human,58,10,77 kg
good,56,54,Male,165 cm,62,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg,25,Bantam,21,Marvel Comics,null,23,53,54 kg
good,90,40,Female,170 cm,63,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg,88,Batgirl,34,Oracle,Human,33,11,57 kg
good,null,null,Female,0 cm,64,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg,null,Batgirl,null,Hawkfire,null,null,27,0 kg
good,null,null,Female,0 cm,65,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg,null,Batgirl III,null,Huntress,null,null,43,0 kg
good,100,56,Female,165 cm,66,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg,69,Batgirl IV,46,DC Comics,Human,27,12,52 kg
good,80,28,Female,168 cm,68,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg,75,Batgirl VI,22,Spoiler,null,23,10,61 kg
good,90,55,Male,178 cm,69,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg,81,Batman,63,DC Comics,Human,29,40,77 kg
good,null,null,Female,0 cm,67,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg,null,Batgirl V,null,Misfit,null,null,null,0 kg
good,100,50,Male,188 cm,70,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg,100,Batman,47,DC Comics,Human,27,26,95 kg
good,100,28,Male,178 cm,71,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg,88,Batman II,36,Nightwing,Human,33,11,79 kg
good,74,74,Male,198 cm,72,https://www.superherodb.com/pictures2/portraits/10/100/231.jpg,50,Battlestar,48,Marvel Comics,null,35,53,133 kg
good,80,25,Female,178 cm,73,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg,81,Batwoman V,27,DC Comics,Human,29,8,0 kg
good,85,60,Male,180 cm,75,https://www.superherodb.com/pictures2/portraits/10/100/27.jpg,94,Beast,43,Marvel Comics,Mutant,38,48,181 kg
good,40,70,Male,173 cm,76,https://www.superherodb.com/pictures2/portraits/10/100/640.jpg,50,Beast Boy,79,DC Comics,Human,50,28,68 kg
good,null,null,Male,175 cm,74,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg,null,Beak,null,Marvel Comics,null,null,null,63 kg
bad,null,null,Male,0 cm,77,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg,null,Beetle,null,Marvel Comics,null,null,54,0 kg
good,84,95,Male,201 cm,79,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg,63,Beta Ray Bill,100,Marvel Comics,null,35,80,216 kg
good,40,10,Male,0 cm,78,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg,10,Ben 10,90,DC Comics,null,8,7,0 kg
good,84,100,Male,0 cm,80,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg,100,Beyonder,100,Marvel Comics,God / Eternal,100,100,0 kg
bad,100,100,Female,188 cm,81,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg,88,Big Barda,100,DC Comics,New God,79,100,135 kg
good,40,60,Male,0 cm,84,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg,63,Bill Harken,27,SyFy,Alpha,33,36,0 kg
